Table A1 
Dynamical Masses of MASSIVE Galaxies


Name	D _M14	D _SBF	${D}_{{\rm{literature}}}$	${M}_{K}^{2\mathrm{MASS}}$	${M}_{K}^{\mathrm{CFHT}}$	M _BH	${M}_{* }^{\mathrm{dyn}}$	Method	Reference	
	(Mpc)	(Mpc)	(Mpc)	(mag)	(mag)	(10^9 M _sun)	(10^11 M _sun)			
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	
NGC 57	76.3	66.9	66.8	-25.75	-25.75		3.73^lowast	Tri. stellar orbit	J. Pilawa et al. 2024, in preparation	
NGC 315	70.3	68.1	70.0	-26.30	-26.48	2.02	11.70^lowast	CO gas	Boizelle et al. (2021)	
NGC 708	69.0	61.5	68.5	-25.65	-25.55	8.98	2.51^lowast	Tri. stellar orbit	de Nicola et al. (2024)	
NGC 997	90.4	83.7^lowast	90.4	-25.40	-25.68	3.28		CO gas	Dominiak et al. (2024)	
NGC 1453	56.4	51.2	51.0	-25.67	-25.64	2.91	3.28^lowast	Tri. stellar orbit	Quenneville et al. (2022)	
	56.4	51.2	51.0	-25.67	-25.64	2.91	3.39	Axi. stellar orbit	Liepold et al. (2020)	
	56.4	51.2	56.4	-25.67	-25.64	2.99	3.65	Axi. stellar Jeans	Ene et al. (2019)	
NGC 1600	63.8	71.7	64.0	-25.99	-26.62	19.05	9.30^lowast	Axi. stellar orbit	Thomas et al. (2016)	
NGC 1684	63.5	62.8	62.8	-25.34	-25.70	1.40		CO gas	Dominiak et al. (2024)	
NGC 2693	74.4	71.0	71.0	-25.76	-25.72	1.70	7.19^lowast	Tri. stellar orbit	Pilawa et al. (2022)	
	74.4	71.0	71.0	-25.76	-25.72	2.40	6.94	Axi. stellar orbit	Pilawa et al. (2022)	
	74.4	71.0	71.0	-25.76	-25.72	2.90	6.64	Axi. stellar Jeans	Pilawa et al. (2022)	
NGC 3842	99.4	87.5	98.4	-25.91	-25.93	8.63	13.78^lowast	Axi. stellar orbit	McConnell et al. (2011)	
NGC 4472	16.7	16.7	17.1	-25.72	-25.83	2.44	5.58^lowast	Axi. stellar orbit	Rusli et al. (2013)	
	16.7	16.7	17.1	-25.72	-25.83		5.82^dagger	Axi. stellar Jeans	Cappellari et al. (2013)	
M87	16.7	16.7	16.8	-25.31	-25.44	5.34	3.95^lowast	Tri. stellar orbit	Liepold et al. (2023)	
	16.7	16.7	17.9	-25.31	-25.44	6.16	9.86	Axi. stellar orbit	Gebhardt et al. (2011)	
	16.7	16.7	17.9	-25.31	-25.44	3.27		Ionized gas	Walsh et al. (2013)	
	16.7	16.7	17.2	-25.31	-25.44		5.18^dagger	Axi. stellar Jeans	Cappellari et al. (2013)	
NGC 4649	16.5	16.5	15.7	-25.36	-25.48	4.73	7.96^lowast	Axi. stellar orbit	Shen & Gebhardt (2010)	
	16.5	16.5	17.3	-25.36	-25.48		4.99^dagger	Axi. stellar Jeans	Cappellari et al. (2013)	
NGC 4889	102.0	99.1	103.2	-26.64	-26.74	20.17	16.80^lowast	Axi. stellar orbit	McConnell et al. (2011)	
NGC 5322	34.2	31.5	30.3	-25.51	-25.43		3.54^dagger	Axi. stellar Jeans	Cappellari et al. (2013)	
NGC 5353	41.1	34.8	35.2	-25.45	-25.31		3.15^dagger	Axi. stellar Jeans	Cappellari et al. (2013)	
NGC 5557	51.0	49.2	38.8	-25.46	-25.68		2.73^dagger	Axi. stellar Jeans	Cappellari et al. (2013)	
NGC 7052	69.3	61.9	58.7	-25.67	-25.63		3.06^dagger	Sph. stellar Jeans	Haring & Rix (2004)	
	69.3	61.9	58.7	-25.67	-25.63	0.35		Ionized gas	vdM+vdB (1998)	
NGC 7619	54.0	46.6	51.5	-25.65	-25.68	2.26	4.98^lowast	Axi. stellar orbit	Rusli et al. (2013)	
Note. Column (1): MASSIVE galaxy name. Column (2): distance from MASSIVE survey paper Ma et al. (2014), which adopts SBF distance if available and group-corrected flow velocities otherwise. Column (3): updated distance from Quenneville et al. (2024), all by the SBF method except NGC 997, for which the non-SBF distance is corrected as described in Section 2.4. Column (4): distance assumed in the dynamical modeling literature. Column (5): extinction-corrected total absolute K-band magnitude derived from 2MASS XSC apparent K-band magnitude (parameter k_m_ext; column (5) of Table 3 in Ma et al. 2014) and distance in column (3). Column (6): absolute K-band magnitude derived from CFHT apparent K-band magnitude (column (6) of Table A1 in Quenneville et al. 2024) and distance in column (3). Column (7): black hole mass from dynamical modeling, corrected to distance in column (3). Column (8): total stellar mass from dynamical modeling, corrected to distance in column (3). Symbol dagger indicates total dynamical mass when the mass of the stellar component is unavailable. The 11 mass measurements used in Section 2 are indicated with asterisks. Column (9): method used for dynamical modeling. "Tri." for triaxial, "Axi." for axisymmetric, "Sph." for spherical. Column (10): dynamical modeling reference.
